word,rating
good,5
good,5
good,1
good,4
good,5
good,4
good,5
good,5
good,3
good,4
good,1
good,4
good,4
good,4
good,3
good,4
good,2
good,4
good,4
good,4
good,5
good,4
good,4
good,5
good,1
good,3
good,4
good,4
good,4
good,3
good,3
good,5
good,4
good,5
good,4
good,5
good,4
good,4
good,4
good,5
good,5
good,4
good,4
good,5
good,4
good,4
good,4
good,5
good,5
good,5
good,4
good,5
good,4
good,4
good,2
good,4
good,2
good,3
good,4
good,3
good,5
good,5
good,4
good,3
good,5
good,4
good,4
good,4
good,3
good,4
good,3
good,1
good,5
good,2
good,4
good,4
good,5
good,5
good,3
good,1
good,5
good,4
good,4
good,4
good,5
good,3
good,5
good,5
good,4
good,4
good,4
good,4
good,5
good,4
good,3
good,4
good,5
good,5
good,3
good,4
good,5
good,5
good,4
good,4
good,4
good,5
good,4
good,5
good,4
good,5
good,2
good,5
good,3
good,5
good,4
good,5
good,5
good,4
good,5
good,4
good,1
good,5
good,5
good,5
good,4
good,3
good,4
good,4
good,4
good,5
good,5
good,5
good,5
good,4
good,4
good,4
good,5
good,4
good,5
good,5
good,4
good,5
good,4
good,5
good,4
good,5
good,5
good,4
good,3
good,3
good,4
good,4
good,4
good,5
good,4
good,5
good,4
good,4
good,5
good,5
good,5
good,5
good,4
good,3
good,4
good,3
good,4
service,5
service,4
service,5
service,5
service,1
service,4
service,5
service,5
service,5
service,4
service,5
service,5
service,1
service,4
service,4
service,5
service,1
service,4
service,5
service,5
service,4
service,5
service,3
service,5
service,4
service,3
service,1
service,4
service,4
service,4
service,1
service,5
service,5
service,4
service,5
service,1
service,1
service,5
service,1
service,4
service,5
service,4
service,4
service,3
service,1
service,3
service,4
service,4
service,1
service,4
service,1
service,5
service,5
service,2
service,1
service,5
service,5
service,2
service,5
service,5
service,1
service,5
service,5
service,4
service,5
service,5
service,3
service,4
service,1
service,5
service,1
service,5
service,4
service,4
service,2
service,5
service,4
service,4
service,3
service,4
service,1
service,4
service,5
service,4
service,5
service,3
service,3
service,5
service,5
service,5
service,5
service,5
service,4
service,2
service,4
service,3
service,4
service,3
service,5
service,1
service,3
service,5
service,4
service,4
service,4
service,4
service,4
service,5
service,4
service,4
service,4
service,4
service,4
service,2
service,5
service,3
service,4
service,2
service,1
service,3
service,1
service,4
service,5
service,3
service,5
service,5
service,4
service,5
service,4
service,5
service,4
service,5
service,3
service,3
service,3
service,5
service,4
service,5
service,5
service,5
service,4
service,4
service,5
service,5
service,5
service,5
service,5
service,1
service,5
service,5
service,5
service,4
service,4
service,5
service,5
service,4
service,2
service,1
service,3
service,5
service,5
service,3
service,4
service,1
service,5
service,4
service,4
service,5
service,1
service,4
service,5
service,4
service,3
service,4
service,5
service,4
service,4
service,5
service,1
service,4
service,2
service,5
service,4
service,4
service,3
service,1
service,4
service,5
service,2
service,4
service,5
service,4
service,4
service,4
service,5
service,1
service,4
service,4
service,5
service,5
service,4
service,1
service,5
service,1
service,5
service,5
service,4
service,3
service,2
service,4
service,5
service,5
service,5
service,5
service,5
service,5
service,5
service,4
service,5
service,5
service,3
service,4
service,4
service,4
service,2
service,3
service,2
service,3
service,5
service,4
service,4
service,5
service,4
service,3
service,5
service,1
service,5
service,5
service,5
service,1
service,5
service,4
service,5
service,5
service,5
service,5
service,4
service,3
service,4
service,5
service,4
service,5
service,1
service,3
service,1
service,1
service,3
service,1
service,4
service,4
service,2
service,4
service,4
service,4
service,5
service,4
service,5
service,5
service,4
service,4
service,4
service,1
service,5
service,5
service,5
service,3
service,2
service,4
service,4
service,2
service,3
service,1
service,4
service,4
service,4
service,2
service,5
service,2
service,5
service,2
service,5
service,3
service,3
service,2
service,4
service,5
service,2
service,5
service,4
service,5
service,4
service,3
service,3
service,4
service,5
service,4
service,5
service,5
service,4
service,4
service,4
service,3
service,5
service,4
service,2
service,4
service,2
service,5
service,2
